"","mois","y_new"
"1","09-janv","1.83753"
"2","09-févr","1.845623"
"3","09-mars","2.227909"
"4","09-avr","2.283439"
"5","09-mai","2.525737"
"6","09-juin","2.361955"
"7","09-juil","2.853322"
"8","09-août","3.122978"
"9","09-sept","2.560721"
"10","09-oct","2.427607"
"11","09-nov","2.235203"
"12","09-déc","2.175527"
"13","10-janv","2.130795"
"14","10-févr","2.063053"
"15","10-mars","2.609264"
"16","10-avr","2.696851"
"17","10-mai","2.8689"
"18","10-juin","2.905292"
"19","10-juil","3.470077"
"20","10-août","3.57879"
"21","10-sept","2.911655"
"22","10-oct","2.824254"
"23","10-nov","2.586615"
"24","10-déc","2.551168"
"25","11-janv","2.288391"
"26","11-févr","2.194255"
"27","11-mars","2.793839"
"28","11-avr","2.928143"
"29","11-mai","3.115116"
"30","11-juin","3.177884"
"31","11-juil","3.711376"
"32","11-août","3.85178"
"33","11-sept","3.169819"
"34","11-oct","2.993192"
"35","11-nov","2.769486"
"36","11-déc","2.776098"
"37","12-janv","2.449101"
"38","12-févr","2.503953"
"39","12-mars","2.974933"
"40","12-avr","3.064577"
"41","12-mai","3.224985"
"42","12-juin","3.295533"
"43","12-juil","3.772442"
"44","12-août","4.014665"
"45","12-sept","3.256274"
"46","12-oct","3.055174"
"47","12-nov","2.851501"
"48","12-déc","2.776945"
"49","13-janv","2.566371"
"50","13-févr","2.459058"
"51","13-mars","3.045758"
"52","13-avr","2.996044"
"53","13-mai","3.285259"
"54","13-juin","3.338322"
"55","13-juil","3.837298"
"56","13-août","4.038831"
"57","13-sept","3.241223"
"58","13-oct","3.128149"
"59","13-nov","2.863926"
"60","13-déc","2.777557"
"61","14-janv","2.461195"
"62","14-févr","2.305347"
"63","14-mars","2.826228"
"64","14-avr","2.982675"
"65","14-mai","3.210645"
"66","14-juin","3.310302"
"67","14-juil","3.717591"
"68","14-août","3.947167"
"69","14-sept","3.130659"
"70","14-oct","3.000814"
"71","14-nov","2.630768"
"72","14-déc","2.674248"
"73","15-janv","2.279015"
"74","15-févr","2.077112"
"75","15-mars","2.58341"
"76","15-avr","2.658525"
"77","15-mai","2.938559"
"78","15-juin","3.051461"
"79","15-juil","3.440653"
"80","15-août","3.400486"
"81","15-sept","2.776848"
"82","15-oct","2.615971"
"83","15-nov","2.350337"
"84","15-déc","2.361467"
"85","16-janv","2.132795"
"86","16-févr","1.985152"
"87","16-mars","2.413193"
"88","16-avr","2.481273"
"89","16-mai","2.765665"
"90","16-juin","2.881952"
"91","16-juil","3.334402"
"92","16-août","3.39974"
"93","16-sept","2.86171"
"94","16-oct","2.638655"
"95","16-nov","2.3416"
"96","16-déc","2.285715"
"97","17-janv","2.151134"
"98","17-févr","1.985971"
"99","17-mars","2.376086"
"100","17-avr","2.524673"
"101","17-mai","2.661197"
"102","17-juin","2.859996"
"103","17-juil","3.302694"
"104","17-août","3.483738"
"105","17-sept","2.8909"
"106","17-oct","2.67592"
"107","17-nov","2.428578"
"108","17-déc","2.376122"
"109","18-janv","2.181782"
"110","18-févr","2.087613"
"111","18-mars","2.65313"
"112","18-avr","2.632503"
